model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,oof_roc_auc
logreg,0.854863387978142,0.041770729140078296,0.859401831440812,0.05816568811749695,0.8203703703703704,0.06332871403327273,0.9179753888087221,0.02272176466086684,0.9145902789963151
rf,0.8284153005464481,0.03198518947178988,0.8341559989236151,0.04588141445092053,0.7838624338624338,0.06097065790057156,0.9183707110790443,0.017903785174367363,0.9144586769608704
